profil,station,month,coef
P019,51449002,10,0.0488653139521191
P019,51449002,11,0.137482785401189
P019,51449002,12,0.271658744325892
P019,57039001,1,0.309399595072917
P019,57039001,2,0.231692670518152
P019,57039001,3,0.194671622228039
P019,57039001,4,0.0522765388430567
P019,57039001,5,0.0139072754100488
P019,57039001,6,0.0148256476074132
P019,57039001,7,0.0153726934937529
P019,57039001,8,0.0175499678222124
P019,57039001,9,0.00385869176090446
P019,57039001,10,0.0554532357237081
P019,57039001,11,0.137311147373978
P019,57039001,12,0.231193538876464
P019,59343001,1,0.24879192978123
P019,59343001,2,0.18932112097677
P019,59343001,3,0.141645051567621
P019,59343001,4,0.0478150215104458
P019,59343001,5,0.00609401681420712
P019,59343001,6,0.00395545761734893
P019,59343001,7,0.00350621661992204
P019,59343001,8,0.00265355983128355
P019,59343001,9,0.00218253243911843
P019,59343001,10,0.0243944439782537
P019,59343001,11,0.109103085887871
P019,59343001,12,0.157955897058096
P019,63113001,1,0.24879192978123
P019,63113001,2,0.18932112097677
P019,63113001,3,0.141645051567621
P019,63113001,4,0.0478150215104458
P019,63113001,5,0.00609401681420712
P019,63113001,6,0.00395545761734893
P019,63113001,7,0.00350621661992204
P019,63113001,8,0.00265355983128355
P019,63113001,9,0.00218253243911843
P019,63113001,10,0.0243944439782537
P019,63113001,11,0.109103085887871
P019,63113001,12,0.157955897058096
P019,64024001,1,0.181409510919362
P019,64024001,2,0.145555603299086
P019,64024001,3,0.127707865050657
P019,64024001,4,0.0401933867526452
P019,64024001,5,0.00719641443716239
P019,64024001,6,8.86075586594894e-4
P019,64024001,7,0.00105534791353772
P019,64024001,8,8.87194063050408e-4
P019,64024001,9,9.90733048849152e-5
P019,64024001,10,3.20028836189059e-4
P019,64024001,11,0.0841727965749618
P019,64024001,12,0.160461686266069
P019,64549001,1,0.242492998086028
P019,64549001,2,0.176967599550828
P019,64549001,3,0.137522865648517
