profil,dtmth,ajust_climat_F,ajust_climat_T
P015,2024-03-01,-0.04302,-0.057065
P015,2024-04-01,-0.04302,-0.057065
P015,2024-05-01,-0.04032,-0.040965
P015,2024-06-01,-0.02752,-0.038265
P015,2024-07-01,0,0
P015,2024-08-01,0,0
P015,2024-09-01,-0.02752,-0.038265
P015,2024-10-01,-0.03042,-0.049965
P015,2024-11-01,-0.04302,-0.057065
P015,2024-12-01,-0.04302,-0.057065
P015,2025-01-01,-0.04302,-0.057065
P015,2025-02-01,-0.04302,-0.057065
P015,2025-03-01,-0.04302,-0.057065
P015,2025-04-01,-0.04302,-0.057065
P015,2025-05-01,-0.04032,-0.040965
P015,2025-06-01,-0.02752,-0.038265
P015,2025-07-01,0,0
P015,2025-08-01,0,0
P015,2025-09-01,-0.02752,-0.038265
P015,2025-10-01,-0.03042,-0.049965
P015,2025-11-01,-0.04302,-0.057065
P015,2025-12-01,-0.04302,-0.057065
P015,2026-01-01,-0.04302,-0.057065
P015,2026-02-01,-0.04302,-0.057065
P015,2026-03-01,-0.04302,-0.057065
P015,2026-04-01,-0.04302,-0.057065
P015,2026-05-01,-0.04032,-0.040965
P015,2026-06-01,-0.02752,-0.038265
P015,2026-07-01,0,0
P015,2026-08-01,0,0
P015,2026-09-01,-0.02752,-0.038265
P015,2026-10-01,-0.03042,-0.049965
P015,2026-11-01,-0.04302,-0.057065
P015,2026-12-01,-0.04302,-0.057065
P015,2027-01-01,-0.04302,-0.057065
P015,2027-02-01,-0.04302,-0.057065
P015,2027-03-01,-0.04302,-0.057065
P015,2027-04-01,-0.04302,-0.057065
P015,2027-05-01,-0.04032,-0.040965
P015,2027-06-01,-0.02752,-0.038265
P015,2027-07-01,0,0
P015,2027-08-01,0,0
P015,2027-09-01,-0.02752,-0.038265
P015,2027-10-01,-0.03042,-0.049965
P015,2027-11-01,-0.04302,-0.057065
P015,2027-12-01,-0.04302,-0.057065
P015,2028-01-01,-0.04302,-0.057065
P015,2028-02-01,-0.04302,-0.057065
P015,2028-03-01,-0.04302,-0.057065
P015,2028-04-01,-0.04302,-0.057065
P015,2028-05-01,-0.04032,-0.040965
P015,2028-06-01,-0.02752,-0.038265
P015,2028-07-01,0,0
P015,2028-08-01,0,0
P015,2028-09-01,-0.02752,-0.038265
P015,2028-10-01,-0.03042,-0.049965
P015,2028-11-01,-0.04302,-0.057065
P015,2028-12-01,-0.04302,-0.057065
